code,name,safety,health,internet,travel,openness,price,environment,air,ground,tourist,nature,culture
ALB,Albania,5.338671668,5.22086207,4.069559529,4.025677152,2.339152295,4.376511671,3.601991147,2.158819974,3.014481607,3.941139501,2.034031784,1.141228098
DZA,Algeria,4.896317586,4.971494467,3.092304664,2.742780506,1.51089122,5.504725056,3.505818784,1.980202959,2.556201227,2.028732347,2.039857425,2.049927352
AGO,Angola,4.731842359,3.232495659,2.374109359,2.670350016,1.286017093,5.462444256,3.413062618,1.957238798,2.066789685,2.437396791,2.335655327,1.236221343
ARG,Argentina,5.025382423,6.197306334,4.156653438,4.543719014,2.77033701,3.967621113,3.318627973,2.554485235,2.625442276,4.635575802,4.082034439,4.371127977
ARM,Armenia,5.798336416,5.91696635,4.163061813,4.433823611,2.77868332,4.578939565,3.793126236,2.261901017,2.979591908,4.175233594,1.883725266,1.383172178
AUS,Australia,6.236492505,6.140121802,5.733783412,4.812230872,4.044503799,3.064363815,4.637721222,5.802694818,3.692738602,5.442437156,5.305911971,5.134926471
AUT,Austria,6.473100987,6.973184358,5.696240386,5.518151886,3.990096942,3.491662445,5.134253395,4.01451715,5.416071071,6.827936759,4.069863071,2.923066215
AZE,Azerbaijan,5.831973733,5.964306752,4.583286894,4.693118497,2.327585194,4.784041583,3.833221023,2.428351124,3.55293501,3.300825144,2.029407331,1.533153224
BHR,Bahrain,5.33390675,5.172153217,5.760077789,4.140299429,2.340255065,5.326838601,3.726099544,3.516323405,5.52619665,4.739651828,1.920432479,1.330838055
BGD,Bangladesh,4.426817319,4.294765283,2.701850398,3.193261825,2.571692843,4.430267679,3.008827796,1.865069063,3.293009338,2.316125423,2.302389552,1.557458863
BRB,Barbados,5.753066002,6.019657772,4.973191904,5.763837242,2.847411573,3.58253585,4.768875867,3.954703117,5.674813615,5.924032118,2.169975559,1.131013084
BEL,Belgium,6.182141573,6.494896274,5.469097663,4.468469508,4.126379274,3.732732822,4.283730402,3.829672021,5.963119309,5.645208148,2.645605421,3.667812187
BTN,Bhutan,6.022218806,4.568533245,3.510550649,4.929796347,2.133293163,5.17942049,4.068492039,2.931609822,3.153131644,2.612441182,3.129716878,1.293708927
BOL,Bolivia,4.645771356,4.376146667,3.41956544,3.50535153,2.783562621,5.321177673,3.833673322,2.15753342,2.393452097,3.097857462,3.551363427,1.987528961
BWA,Botswana,5.151604908,3.504644616,3.740511345,4.327432958,2.117449089,5.442460736,4.418962947,2.266388546,2.815119096,3.472288939,3.59440956,1.351640617
BRA,Brazil,4.680971205,5.313090314,4.428401565,4.052426692,2.591185773,4.508059385,3.891614707,3.640968582,2.356444004,4.688380984,6.006672825,5.312178198
BGR,Bulgaria,5.241388139,6.700961913,4.761358434,4.18488158,3.868568035,5.075911212,4.619592341,2.462182871,3.263883497,6.061242825,3.441869603,1.961257295
BFA,Burkina Faso,4.902894234,2.782466993,1.750688018,3.554037713,1.598650907,4.606830492,4.473186599,1.587227187,2.133421049,2.333749206,2.178213581,1.288873335
BDI,Burundi,4.546790422,3.91107445,1.901710048,2.446582227,3.151492364,5.024920416,3.78284773,1.637931122,2.799065412,1.896032619,1.907125811,1.141039688
KHM,Cambodia,4.959025892,3.916186419,3.188199446,4.988933143,3.429353037,5.00028984,3.425110991,2.098051883,2.607902418,2.910852193,2.840002,1.529598003
CMR,Cameroon,5.285131608,3.317515581,1.885817774,3.424505581,1.795628817,4.825514116,3.931268055,1.791972121,2.602828119,2.590872792,3.183108104,1.291052489
CAN,Canada,6.0497763,5.59510215,5.377963736,5.002100298,3.192830468,3.632906797,4.631062518,6.751701772,4.107531339,5.968947199,4.779904751,4.018568745
CPV,Cape Verde,5.180064606,4.643314963,3.520322829,4.516223038,3.132977767,4.475571492,4.320835909,3.632429355,3.419977065,4.564099185,1.829489469,1.053180397
TCD,Chad,4.364585275,2.493333144,1.311145094,3.569298894,1.655908285,3.761681578,4.337223612,1.421038943,2.128211744,2.088663274,2.494076078,1.026321939
