currency,current,5_year
AFN,65.6167979,52.41090147
ALL,130.5483029,108.9324619
EUR,0.943948347,0.778573653
AOA,135.3179973,100.1001001
XCD,2.7000027,2.699856908
ARS,9.669309611,5.860977611
AMD,480.7692308,414.9377593
AWG,1.7999856,1.791183793
AUD,1.390646512,1.076971126
AZN,1.051104711,0.824266403
BSD,1.002496216,1.000070005
BDT,78.98894155,77.63975155
BBD,2,2
BYR,16666.66667,8333.333333
BZD,1.997403376,1.983536646
XOF,621.1180124,510.2040816
INR,66.75567423,56.30630631
BOB,6.905123602,6.948787437
BAM,1.834997064,1.520843155
BWP,10.82251082,8.301510875
BRL,3.775437007,2.197802198
BND,1.407004066,1.281131495
BIF,1538.461538,1449.275362
KHR,4000,4000
XAF,617.2839506,510.2040816
CAD,1.336255278,1.07817874
CVE,104.1666667,85.47008547
KYD,0.820001476,0.819940964
COP,3125,2000
KMF,436.6812227,383.1417625
HRK,7.195797654,5.886161634
CUP,1,1
DKK,7.042749489,5.803156917
DJF,177.3049645,179.5332136
DOP,45.2079566,41.45936982
EGP,7.832693663,6.722237161
ERN,15.49907006,
FKP,0.662699307,0.629718956
XPF,112.6126126,92.85051068
GMD,39.85651654,34.94060098
GHS,3.86996904,2.259938078
GTQ,7.624857034,7.770611547
GYD,205.7613169,204.9180328
HKD,7.750135627,7.760360081
HUF,294.1176471,230.9468822
IDR,14285.71429,11111.11111
JMD,119.6172249,99.9000999
KZT,306.7484663,165.8374793
KES,102.145046,88.88888889
KRW,1149.425287,1098.901099
KWD,0.304879908,0.285644099
LYD,1.386193513,1.265422335
CHF,1.030587847,0.92491537
MOP,7.982757244,7.99296619
MGA,3333.333333,2380.952381
MRO,314.4654088,293.255132
MUR,36.5497076,31.25976868
MXN,16.58099818,13.44086022
MDL,20.11667673,13.58142062
MAD,10.04722194,8.643042351
MZN,56.6572238,31.10419907
MMK,1298.701299,27.10761724
NGN,199.2031873,166.9449082
PKR,105.4852321,96.89922481
PGK,2.962962963,2.384813508
PEN,3.367003367,2.823502838
PHP,47.05882353,43.64906155
PLN,4.030632809,3.242752448
RON,4.202740187,3.423250719
RUB,66.09385327,36.21876132
RWF,746.2686567,649.3506494
SHP,0.662800331,0.629714991
WST,2.680965147,2.373774539
SAR,3.756291789,3.750656365
RSD,114.5475372,87.87346221
SCR,13.08044474,12.91322314
SLL,4166.666667,4347.826087
SGD,1.413467519,1.281016615
SSP,,
LKR,143.2664756,126.4222503
SDG,6.09236018,4.139929621
SRD,3.985016339,3.255102373
SZL,14.16430595,9.461633078
SEK,8.732861759,6.991051454
THB,35.85514521,31.82686187
TOP,2.28050171,1.866890694
TND,2.067995699,1.641712635
TMT,3.500052501,
UAH,23.87774594,10.22390349
UZS,2702.702703,2127.659574
VUV,110.2535832,95.96928983
VEF,6.287726358,5.337318531
ZMW,11.64958062,5.83498658
AFN,65.6167979,52.41090147
ALL,130.5483029,108.9324619
DZD,109.0512541,81.96721311
USD,1,1
EUR,0.943948347,0.778573653
AOA,135.3179973,100.1001001
XCD,2.7000027,2.699856908
ARS,9.669309611,5.860977611
AMD,480.7692308,414.9377593
AWG,1.7999856,1.791183793
