country_code,currency_alphabetic_code,currency_name
AFG,AFN,Afghani
ALB,ALL,Lek
DZA,DZD,Algerian Dinar
ASM,USD,US Dollar
AND,EUR,Euro
AGO,AOA,Kwanza
AIA,XCD,East Caribbean Dollar
ATA,,
ATG,XCD,East Caribbean Dollar
ARG,ARS,Argentine Peso
ARM,AMD,Armenian Dram
ABW,AWG,Aruban Florin
AUS,AUD,Australian Dollar
AUT,EUR,Euro
AZE,AZN,Azerbaijanian Manat
BHS,BSD,Bahamian Dollar
BHR,BHD,Bahraini Dinar
BGD,BDT,Taka
BRB,BBD,Barbados Dollar
BLR,BYR,Belarussian Ruble
BEL,EUR,Euro
BLZ,BZD,Belize Dollar
BEN,XOF,CFA Franc BCEAO
BMU,BMD,Bermudian Dollar
BTN,INR,Indian Rupee
BOL,BOB,Boliviano
BES,USD,US Dollar
BIH,BAM,Convertible Mark
BWA,BWP,Pula
BVT,NOK,Norwegian Krone
BRA,BRL,Brazilian Real
IOT,USD,US Dollar
BRN,BND,Brunei Dollar
BGR,BGN,Bulgarian Lev
BFA,XOF,CFA Franc BCEAO
BDI,BIF,Burundi Franc
KHM,KHR,Riel
CMR,XAF,CFA Franc BEAC
CAN,CAD,Canadian Dollar
CPV,CVE,Cabo Verde Escudo
CYM,KYD,Cayman Islands Dollar
CAF,XAF,CFA Franc BEAC
TCD,XAF,CFA Franc BEAC
CHL,CLP,Chilean Peso
CHN,CNY,Yuan Renminbi
CXR,AUD,Australian Dollar
CCK,AUD,Australian Dollar
COL,COP,Colombian Peso
COM,KMF,Comoro Franc
COG,XAF,CFA Franc BEAC
COD,,
COK,NZD,New Zealand Dollar
CRI,CRC,Costa Rican Colon
HRV,HRK,Croatian Kuna
CUB,CUP,Cuban Peso
CUW,ANG,Netherlands Antillean Guilder
CYP,EUR,Euro
CZE,CZK,Czech Koruna
CIV,XOF,CFA Franc BCEAO
DNK,DKK,Danish Krone
DJI,DJF,Djibouti Franc
DMA,XCD,East Caribbean Dollar
DOM,DOP,Dominican Peso
ECU,USD,US Dollar
EGY,EGP,Egyptian Pound
SLV,USD,US Dollar
GNQ,XAF,CFA Franc BEAC
ERI,ERN,Nakfa
EST,EUR,Euro
ETH,ETB,Ethiopian Birr
FLK,FKP,Falkland Islands Pound
FRO,DKK,Danish Krone
FJI,FJD,Fiji Dollar
FIN,EUR,Euro
FRA,EUR,Euro
GUF,EUR,Euro
PYF,XPF,CFP Franc
ATF,EUR,Euro
GAB,XAF,CFA Franc BEAC
GMB,GMD,Dalasi
GEO,GEL,Lari
DEU,EUR,Euro
GHA,GHS,Ghana Cedi
GIB,GIP,Gibraltar Pound
GRC,EUR,Euro
GRL,DKK,Danish Krone
GRD,XCD,East Caribbean Dollar
GLP,EUR,Euro
GUM,USD,US Dollar
GTM,GTQ,Quetzal
GGY,GBP,Pound Sterling
GIN,GNF,Guinea Franc
GNB,XOF,CFA Franc BCEAO
GUY,GYD,Guyana Dollar
HTI,USD,US Dollar
HMD,AUD,Australian Dollar
VAT,EUR,Euro
HND,HNL,Lempira
