ISO_3DIGIT,Jan_Temp,Feb_temp,Mar_temp,Apr_Temp,May_temp,Jun_Temp,July_Temp,Aug_Temp,Sept_temp,Oct_temp,Nov_Temp,Dec_temp,Annual_temp,Jan_precip,Feb_precip,Mar_precip,Apr_precip,May_precip,Jun_precip,July_precip,Aug_precip,Sept_precip,Oct_precip,Nov_precip,Dec_precip,Monthly Average,Jan_precip,Feb_precip,Mar_precip,Apr_precip,May_precip,Jun_precip,July_precip,Aug_precip,Sept_precip,Oct_precip,Nov_precip,Dec_precip,name
AFG,32.13150513,35.79693133,45.67455331,56.06643035,64.78935746,73.76236729,77.46536607,74.77973005,66.26223418,55.38676327,44.60737,36.38033033,55.25861813,43.28,49.18,64.97,49.41,24.18,4.56,8.03,7.74,3.67,9.36,15.41,31.54,25.94348799,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Afghanistan
AGO,72.64802404,72.83036494,73.01145101,72.2364471,69.3312341,65.07196687,64.30311589,67.82443944,71.93758653,73.72687738,73.01507254,72.69954476,70.71967885,154.99,148.54,169.91,109.07,15.14,0.37,0.32,3.41,20.1,69.77,144.51,155.16,82.60880695,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Angola
ALB,35.64151994,37.792505,42.86356998,49.85215979,57.9969501,64.26994991,68.97004986,68.86339979,62.88634992,54.07839501,45.63645481,38.57651002,52.28564012,108,102.63,93.43,86.16,74.27,54.58,39.07,45.7,67.57,105.26,138.26,138.3,87.76959864,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Albania
ARE,65.16953929,66.97047836,72.70324349,79.84118267,87.12257405,90.42275626,92.83303485,92.39156507,89.13763441,83.01779153,75.31120866,68.51073036,80.28609598,5.96,22.18,16.59,8.96,1.08,1.09,2.28,1.41,0.5,0.43,1.74,5.6,5.651002124,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,United Arab Emirates
ARG,69.4463592,67.81914059,63.52634169,57.28331053,51.16591676,45.78306055,45.35851733,48.22871915,52.75305674,58.4143719,63.57925809,67.69066568,57.58740486,68.37,63.65,69.53,46.48,36.28,28.08,25.89,24.1,30.07,47.72,55.57,63.3,46.5871559,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Argentina
ARM,16.40636463,20.02626157,30.980462,43.91550155,52.5781541,60.04289212,67.67475345,66.71175373,58.94600022,46.25968307,34.91369644,23.22940298,43.47385093,20.84,25.93,40.11,59.73,82.85,68.05,43.06,35.97,29.43,42.13,30.79,23.4,41.85681407,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Rainy,Dry,Dry,Armenia
AUS,82.01209286,81.01293854,77.66365403,71.37453023,64.14494888,58.69923532,57.11841883,60.27414987,66.0033489,72.42275517,77.22880942,80.58938156,70.71201741,80.56,75.81,61.98,31.12,30,23.83,23.3,20.27,17.84,24.37,33.1,50.92,39.42429165,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Australia
AUT,25.67060924,28.4266169,34.55307982,41.91632786,50.21254753,55.91555237,59.4601999,58.96232442,53.76638922,45.59142147,35.1206234,28.02230631,43.13482295,67.7,65.91,75.92,90.7,113.36,137.66,137,131.42,94.91,77.15,92.21,77.24,96.76532243,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Austria
AZE,31.63841479,33.44667282,40.94666679,52.95805607,62.24264,71.11283989,76.57363998,75.40004017,67.69715988,55.18717198,45.18627201,35.65773803,54.00382004,24.68,27.43,40.52,48.44,56.83,50.86,25.2,23.09,34.15,45.41,30.5,26.76,36.15693673,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Rainy,Dry,Dry,Azerbaijan
BDI,68.43739937,68.69839985,68.77345982,68.6632999,68.08298008,66.87013992,66.84151985,68.79739971,70.08637959,69.77012028,68.43038014,68.29825993,68.47897953,154.09,139.05,170.24,193.73,94.37,12.22,3.75,13.85,56.13,96.15,171.95,157.27,105.2343333,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Burundi
