code,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,ann,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,avg,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec
ALB,35.64151994,37.792505,42.86356998,49.85215979,57.9969501,64.26994991,68.97004986,68.86339979,62.88634992,54.07839501,45.63645481,38.57651002,52.28564012,108,102.63,93.43,86.16,74.27,54.58,39.07,45.7,67.57,105.26,138.26,138.3,87.76959864,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy
DZA,53.82049516,58.62235053,64.24430502,71.4854868,79.54525042,87.43364221,90.57005711,89.55417039,83.88375655,74.01042051,63.1561918,55.31114508,72.63642405,8.99,8.6,9.39,8.04,6.56,3.37,2.07,3.69,5.13,7.33,9.53,9.28,6.831129064,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry
AGO,72.64802404,72.83036494,73.01145101,72.2364471,69.3312341,65.07196687,64.30311589,67.82443944,71.93758653,73.72687738,73.01507254,72.69954476,70.71967885,154.99,148.54,169.91,109.07,15.14,0.37,0.32,3.41,20.1,69.77,144.51,155.16,82.60880695,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy
ARG,69.4463592,67.81914059,63.52634169,57.28331053,51.16591676,45.78306055,45.35851733,48.22871915,52.75305674,58.4143719,63.57925809,67.69066568,57.58740486,68.37,63.65,69.53,46.48,36.28,28.08,25.89,24.1,30.07,47.72,55.57,63.3,46.5871559,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy
ARM,16.40636463,20.02626157,30.980462,43.91550155,52.5781541,60.04289212,67.67475345,66.71175373,58.94600022,46.25968307,34.91369644,23.22940298,43.47385093,20.84,25.93,40.11,59.73,82.85,68.05,43.06,35.97,29.43,42.13,30.79,23.4,41.85681407,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Rainy,Dry,Dry
AUS,82.01209286,81.01293854,77.66365403,71.37453023,64.14494888,58.69923532,57.11841883,60.27414987,66.0033489,72.42275517,77.22880942,80.58938156,70.71201741,80.56,75.81,61.98,31.12,30,23.83,23.3,20.27,17.84,24.37,33.1,50.92,39.42429165,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy
AUT,25.67060924,28.4266169,34.55307982,41.91632786,50.21254753,55.91555237,59.4601999,58.96232442,53.76638922,45.59142147,35.1206234,28.02230631,43.13482295,67.7,65.91,75.92,90.7,113.36,137.66,137,131.42,94.91,77.15,92.21,77.24,96.76532243,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry
AZE,31.63841479,33.44667282,40.94666679,52.95805607,62.24264,71.11283989,76.57363998,75.40004017,67.69715988,55.18717198,45.18627201,35.65773803,54.00382004,24.68,27.43,40.52,48.44,56.83,50.86,25.2,23.09,34.15,45.41,30.5,26.76,36.15693673,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Rainy,Dry,Dry
BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,65.54288256,69.83009127,77.75885658,82.44296528,83.20287839,83.22905653,82.93397369,83.10438724,83.03943042,80.89700008,74.65999988,67.52871302,77.84764358,6.51,16.42,45.26,138.3,256.17,443.14,487.72,377.62,296.07,160.54,30.4,8.38,188.8769724,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry
BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,35.50435541,36.70787882,41.40905528,46.66186812,54.31639988,59.78215295,63.02935277,62.92992953,57.96934105,51.22109876,42.37154704,37.6050624,49.12563429,74.45,59.44,74.45,59.46,70.18,78.92,75.72,68.05,66.86,77.4,85.99,83.37,72.85812767,Rainy,Dry,Rainy,Dry,Dry,Rainy,Rainy,Dry,Dry,Rainy,Rainy,Rainy
BTN,33.00290345,35.89736503,42.22237991,47.80871869,52.75120955,57.90767004,58.6357188,58.2641862,56.03737998,49.45023237,41.52213757,35.72120453,47.43507727,6.58,8.05,26.92,93.84,162.48,366.28,446.23,330.03,238.27,84.85,12.84,4.1,148.3716576,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry
BOL,72.61972567,72.37802154,71.72910574,69.79801608,66.65781582,63.76324042,63.97779494,66.98023317,70.39122083,72.51044449,73.24550932,73.00993649,69.75505406,179.82,167.58,142.46,80.47,49.73,30.27,20.86,26.23,43.93,78.3,113.58,162.33,91.29665011,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy
BWA,79.3538233,77.75824567,75.74403702,70.55350973,63.67297474,57.72554757,57.58678152,62.8816564,70.45471941,75.70945242,77.89279132,78.6024894,70.66136992,89.76,77,53.38,31.47,4.9,1.23,0.33,0.6,5.7,21.71,45.99,62.41,32.87298131,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy
BRA,78.05212136,78.17138931,77.88353574,77.08872787,75.54261063,73.92311425,73.8378565,75.61823225,77.24098547,78.30719987,78.33183955,78.18320298,76.8483893,226.46,217.8,236.03,184.87,130.86,81.93,65.16,57.76,76.91,124.49,158.2,202.52,146.9142494,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy
BGR,29.86974327,33.561284,40.45516678,49.84878852,58.98996588,65.5578981,69.5254426,68.87889785,62.3226851,52.66854981,42.71140551,34.18131593,50.71417095,43.38,43.77,44.58,52.87,66.79,69.26,51.19,42.05,36.9,40.96,56.04,55.05,50.23697554,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Rainy,Rainy
BFA,77.00816286,82.11308817,87.13153028,89.69851846,88.65045825,84.61929549,80.80672784,79.45394409,80.54811411,83.67017203,81.45217454,77.45696969,82.71744891,0.27,1.02,8.23,28.06,64.21,102.32,172.88,215.39,141.89,36.4,2.79,0.82,64.52389586,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry
BDI,68.43739937,68.69839985,68.77345982,68.6632999,68.08298008,66.87013992,66.84151985,68.79739971,70.08637959,69.77012028,68.43038014,68.29825993,68.47897953,154.09,139.05,170.24,193.73,94.37,12.22,3.75,13.85,56.13,96.15,171.95,157.27,105.2343333,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy
KHM,76.7585967,79.75269351,82.26816456,84.09908377,83.28475824,81.90711938,81.22741613,81.07856789,80.5285516,79.87622596,78.46746456,76.64371609,80.49110007,10.92,16.01,41.89,79.3,198.4,278.31,291.22,319.24,316.98,236.1,100.92,29.38,159.8898214,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
CMR,74.98442853,77.64753465,79.29331012,79.57846951,77.93659993,75.80488579,74.05740401,73.92424093,74.71306931,75.7101224,75.65746947,74.49452233,76.1501307,14.96,29.46,90.06,133.62,176.45,170.72,196.03,227.85,263.21,222.55,70.25,17.9,134.4226596,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
CAN,-12.31980994,-9.856444237,-1.689900412,14.3825349,31.48370463,45.03178257,51.9920321,49.12739243,38.21704594,24.15459372,5.89530698,-6.741119372,19.1397567,28.74,23.17,25.31,24.86,32.82,48.52,58.91,56.43,48.66,41.36,36.86,31.83,38.1224211,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,69.19582103,73.57836774,79.78959724,85.19622226,87.86104039,87.34324062,84.67444474,82.7772279,83.05585452,81.02171192,74.83366013,70.32837891,79.97133426,0.21,1.38,2.26,8.36,20.86,37.11,82.39,113.71,51.31,12.4,0.35,0.15,27.54213917,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry
CHL,54.82848214,53.96731443,51.55737963,47.50979714,43.31808588,39.91615384,39.27929529,40.70543367,43.37276203,46.79956595,50.20880054,53.32500478,47.06569095,33.81,34.03,35.28,47.04,81.51,84.41,88,73.37,48.92,37.81,30.75,36.24,52.59751381,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry
CHN,16.71445079,21.36418344,32.88153379,45.65904024,55.52225996,62.72756058,66.8630366,65.26553348,56.96893985,45.25803975,31.12497028,20.28464416,43.38619517,10.56,15.32,25.04,42.98,61.96,88.85,108.61,97.84,61.72,34.17,17.94,9.78,47.89782819,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry
COL,76.31759193,76.96534039,77.25769517,76.5476339,75.83351297,75.00339349,74.82099838,75.27840172,75.58654997,75.72526134,75.8913839,75.89461616,75.92686128,111.63,116.88,165.63,255.56,303.01,293,260.7,245.24,234.02,270.67,218.03,144.21,218.2154319,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
CRI,73.71178562,74.61037162,76.31690028,77.07842914,76.27498572,75.18148558,75.28884285,74.92819947,74.62490005,74.18094278,73.51095677,73.47392867,74.93167169,129.37,78.04,73.05,143.01,304.8,381.05,352.21,392.87,392.6,460.44,342.37,218.44,272.3555138,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry
CIV,78.50658346,81.9922092,82.84365867,82.48423682,80.93734311,78.58712118,76.76708991,76.53987708,77.48246595,78.77828443,79.37902189,77.77642756,79.33948802,10.19,36.56,80.84,120.53,161.23,212.75,158.02,168.06,195.82,129.86,59.75,22.44,113.0068147,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry
